product_id,orders_count,units_sold,total_revenue,avg_price,avg_delivery_days,delayed_rate,first_sale_date,last_sale_date,etl_loaded_at
00066f42aeeb9f3007548bb9d3f33c38,1,1,120.24,120.24,17.0,0.0,2018-05-20 18:45:21,2018-05-20 18:45:21,2026-05-06 15:11:47.710166
00088930e925c41fd95ebfe695fd2655,1,1,143.83,143.83,10.0,0.0,2017-12-12 19:20:28,2017-12-12 19:20:28,2026-05-06 15:11:47.710166
0009406fd7479715e4bef61dd91f2462,1,1,242.1,242.1,15.0,0.0,2017-12-21 16:21:47,2017-12-21 16:21:47,2026-05-06 15:11:47.710166
000b8f95fcb9e0096488278317764d19,2,2,157.0,78.5,6.0,0.0,2018-08-01 22:00:33,2018-08-10 13:24:35,2026-05-06 15:11:47.710166
000d9be29b5207b54e86aa1b1ac54872,1,1,218.27,218.27,7.0,0.0,2018-04-03 09:24:12,2018-04-03 09:24:12,2026-05-06 15:11:47.710166
0011c512eb256aa0dbbb544d8dffcf6e,1,2,67.8,67.8,8.0,0.0,2017-12-14 20:30:29,2017-12-14 20:30:29,2026-05-06 15:11:47.710166
00126f27c813603687e6ce486d909d01,2,2,527.73,263.86,12.0,0.0,2017-09-17 20:35:28,2017-09-17 20:45:13,2026-05-06 15:11:47.710166
001795ec6f1b187d37335e1c4704762e,7,11,456.2,50.69,9.56,0.11,2017-10-28 18:16:38,2017-12-27 00:22:18,2026-05-06 15:11:47.710166
001b237c0e9bb435f2e54071129237e9,1,1,100.09,100.09,8.0,0.0,2018-08-09 01:24:57,2018-08-09 01:24:57,2026-05-06 15:11:47.710166
001b72dfd63e9833e8c02742adf472e3,11,16,620.83,47.76,7.15,0.0,2017-02-15 23:49:35,2017-12-12 20:56:42,2026-05-06 15:11:47.710166
001c5d71ac6ad696d22315953758fa04,1,1,100.64,100.64,20.0,0.0,2017-01-25 05:31:30,2017-01-25 05:31:30,2026-05-06 15:11:47.710166
00210e41887c2a8ef9f791ebc780cc36,5,9,319.1,45.59,5.43,0.0,2017-05-22 12:15:02,2017-06-26 16:15:10,2026-05-06 15:11:47.710166
002159fe700ed3521f46cfcf6e941c76,7,7,1611.96,230.28,21.43,0.29,2017-04-15 11:10:07,2018-08-07 21:54:37,2026-05-06 15:11:47.710166
0021a87d4997a48b6cef1665602be0f5,1,1,37.72,37.72,6.0,0.0,2017-08-24 09:48:12,2017-08-24 09:48:12,2026-05-06 15:11:47.710166
00250175f79f584c14ab5cecd80553cd,7,21,941.36,85.58,10.64,0.18,2017-03-04 19:42:06,2018-08-10 19:53:00,2026-05-06 15:11:47.710166
002552c0663708129c0019cc97552d7d,1,1,122.1,122.1,7.0,0.0,2018-07-12 20:02:45,2018-07-12 20:02:45,2026-05-06 15:11:47.710166
002959d7a0b0990fe2d69988affcbc80,1,1,227.92,227.92,18.0,0.0,2018-01-20 17:53:36,2018-01-20 17:53:36,2026-05-06 15:11:47.710166
002af88741ba70c7b5cf4e4a0ad7ef85,1,21,330.66,55.11,10.0,0.0,2017-08-04 10:08:27,2017-08-04 10:08:27,2026-05-06 15:11:47.710166
002c6dab60557c48cfd6c2222ef7fd76,1,1,92.9,92.9,18.0,0.0,2018-03-15 10:44:26,2018-03-15 10:44:26,2026-05-06 15:11:47.710166
002d4ea7c04739c130bb74d7e7cd1694,1,1,65.06,65.06,27.0,1.0,2018-04-24 14:53:22,2018-04-24 14:53:22,2026-05-06 15:11:47.710166
002ec297b1b00fb9dde7ee6ac24b6771,1,1,23.39,23.39,6.0,0.0,2018-04-07 19:57:43,2018-04-07 19:57:43,2026-05-06 15:11:47.710166
0030026a6ddb3b2d1d4bc225b4b4c4da,1,1,49.24,49.24,1.0,0.0,2017-12-27 19:22:15,2017-12-27 19:22:15,2026-05-06 15:11:47.710166
0030e635639c898b323826589761cf23,2,2,342.72,171.36,13.0,0.0,2018-02-20 21:24:12,2018-06-01 15:54:46,2026-05-06 15:11:47.710166
003128f981470c3e5a2e7445e4a771cd,2,2,223.4,111.7,2.5,0.0,2018-07-28 05:08:36,2018-08-26 22:19:40,2026-05-06 15:11:47.710166
0036bb031e69d915cd384d1b3838b5d3,1,1,46.95,46.95,7.0,0.0,2017-03-15 19:48:58,2017-03-15 19:48:58,2026-05-06 15:11:47.710166
003938452c98ff9ab28e9e7b4bfe97ab,1,1,201.77,201.77,5.0,0.0,2018-08-04 21:28:12,2018-08-04 21:28:12,2026-05-06 15:11:47.710166
003962cb74a8b43cf1034fed541a76f0,1,1,114.8,114.8,12.0,0.0,2017-05-11 18:01:55,2017-05-11 18:01:55,2026-05-06 15:11:47.710166
003a31970fea14fffe92ac856b8a9b97,1,6,748.89,249.63,18.0,0.0,2018-06-01 16:50:43,2018-06-01 16:50:43,2026-05-06 15:11:47.710166
003c0b8f6580c850bd2e32044d2ac307,1,3,984.2,492.1,6.0,0.0,2017-11-22 08:33:09,2017-11-22 08:33:09,2026-05-06 15:11:47.710166
003dbcabcf8e3231de657c7d9f9a5eba,2,2,107.2,53.6,9.5,0.0,2017-06-07 20:38:13,2017-06-13 20:13:52,2026-05-06 15:11:47.710166
004154251837f6ac124ad4374b3a8148,1,1,27.38,27.38,10.0,0.0,2017-10-23 18:17:07,2017-10-23 18:17:07,2026-05-06 15:11:47.710166
0042f1a9a7e0edd1400c6cd0fda065f8,1,2,46.9,46.9,3.0,0.0,2018-02-20 23:00:59,2018-02-20 23:00:59,2026-05-06 15:11:47.710166
0043c62d00db47eff6a6bc4cf6bfaeda,1,1,548.13,548.13,14.0,0.0,2018-01-26 11:56:52,2018-01-26 11:56:52,2026-05-06 15:11:47.710166
0043d1a25ef08fb6f41b8fa6f91742ab,1,1,406.48,406.48,34.0,1.0,2017-11-25 17:44:20,2017-11-25 17:44:20,2026-05-06 15:11:47.710166
0044d70d4e53450c0fbb8255446a797b,1,1,46.14,46.14,17.0,0.0,2018-02-16 11:03:23,2018-02-16 11:03:23,2026-05-06 15:11:47.710166
004552d98c5d3653af8b4dbe8def0048,1,1,368.11,368.11,13.0,0.0,2017-12-13 23:48:19,2017-12-13 23:48:19,2026-05-06 15:11:47.710166
004636c889c7c3dad6631f136b7fa082,3,5,253.24,63.31,4.0,0.0,2018-04-23 21:26:29,2018-08-16 17:43:21,2026-05-06 15:11:47.710166
004ffcbfa5aac82212a95bc972ea8a85,1,1,263.66,263.66,15.0,0.0,2017-08-31 14:14:25,2017-08-31 14:14:25,2026-05-06 15:11:47.710166
005030ef108f58b46b78116f754d8d38,13,15,338.93,26.07,8.62,0.08,2017-10-20 10:46:34,2018-08-18 21:48:53,2026-05-06 15:11:47.710166
005c6b24cc96dca3e2c01e824401030e,1,1,58.6,58.6,11.0,0.0,2018-01-27 18:19:58,2018-01-27 18:19:58,2026-05-06 15:11:47.710166
0060b415594c5e1200324ef1a18493c4,1,1,79.31,79.31,6.0,0.0,2017-08-01 16:51:20,2017-08-01 16:51:20,2026-05-06 15:11:47.710166
00636f9286f69c9f1bdabe76e670fb50,2,2,81.28,40.64,14.5,0.0,2017-02-07 15:19:05,2017-02-26 20:07:26,2026-05-06 15:11:47.710166
006508eabcc19ae52ed87323124ad0e9,1,1,79.23,79.23,6.0,0.0,2018-06-13 11:02:59,2018-06-13 11:02:59,2026-05-06 15:11:47.710166
006619bbed68b000c8ba3f8725d5409e,1,1,86.86,86.86,7.0,0.0,2018-03-08 20:57:30,2018-03-08 20:57:30,2026-05-06 15:11:47.710166
0067f97995b0c3a86739734dc87ee6b6,1,1,93.31,93.31,17.0,0.0,2017-04-24 19:01:47,2017-04-24 19:01:47,2026-05-06 15:11:47.710166
006baa9a5b8f95895f15273a35bc2664,3,3,355.33,118.44,12.33,0.0,2017-08-15 07:22:10,2018-01-24 22:54:12,2026-05-06 15:11:47.710166
006c67546bfe73c33b83f6bd1ad58c36,1,1,80.74,80.74,18.0,1.0,2018-05-19 14:46:42,2018-05-19 14:46:42,2026-05-06 15:11:47.710166
00716e5593e8eea55dbe7a29b72a70bc,1,1,50.71,50.71,20.0,0.0,2018-04-11 23:22:53,2018-04-11 23:22:53,2026-05-06 15:11:47.710166
00738f5a17ec4450e88915357b085c1e,1,1,34.86,34.86,9.0,0.0,2017-04-26 13:45:25,2017-04-26 13:45:25,2026-05-06 15:11:47.710166
0075c14603d80515e20908c156ceb47b,2,2,136.26,68.13,8.0,0.0,2018-05-09 17:16:17,2018-05-14 11:15:07,2026-05-06 15:11:47.710166
007c63ae4b346920756b5adcad8095de,6,7,563.81,93.97,12.0,0.0,2017-03-05 22:02:38,2017-11-24 21:33:21,2026-05-06 15:11:47.710166
0081787b18cce4acc2d1adec4520d7ba,1,1,548.42,548.42,12.0,0.0,2018-03-05 11:08:22,2018-03-05 11:08:22,2026-05-06 15:11:47.710166
0082684bb4a60a862baaf7a60a5845ed,1,1,55.0,55.0,12.0,0.0,2017-11-10 13:49:38,2017-11-10 13:49:38,2026-05-06 15:11:47.710166
0085dddda27567189f1dfd1eda7c286e,1,1,198.31,198.31,12.0,0.0,2017-12-07 08:16:34,2017-12-07 08:16:34,2026-05-06 15:11:47.710166
008686d56f4c85b987a4c24a286834c1,1,1,231.32,231.32,28.0,1.0,2017-11-24 22:39:49,2017-11-24 22:39:49,2026-05-06 15:11:47.710166
00878d953636afec00d3e85d55a12e7f,10,10,1228.4,122.84,13.0,0.2,2018-04-24 11:04:33,2018-06-10 19:44:09,2026-05-06 15:11:47.710166
008b0ec3de3638637099f97add750136,1,1,88.95,88.95,13.0,0.0,2018-04-03 15:40:26,2018-04-03 15:40:26,2026-05-06 15:11:47.710166
008b51e6be49ee039854b5e35c331b02,1,1,323.52,323.52,25.0,0.0,2018-06-16 16:19:48,2018-06-16 16:19:48,2026-05-06 15:11:47.710166
008cff0e5792219fae03e570f980b330,20,25,3622.13,164.64,11.55,0.05,2017-06-14 15:32:03,2018-08-20 14:56:38,2026-05-06 15:11:47.710166
00905d58c87afcbce21420b3712cacaa,5,5,885.54,177.11,6.6,0.2,2018-03-09 16:38:46,2018-07-08 14:18:22,2026-05-06 15:11:47.710166
00917855135d67fb060dcd81863166a4,1,1,58.13,58.13,11.0,0.0,2018-04-27 21:25:00,2018-04-27 21:25:00,2026-05-06 15:11:47.710166
0091d85023824de2d33252310c952307,2,2,343.86,171.93,9.0,0.0,2018-03-10 10:43:58,2018-05-06 11:23:15,2026-05-06 15:11:47.710166
00929aaa7751a77220db9caa1ae6d3ab,1,1,49.74,49.74,9.0,0.0,2017-02-28 17:54:36,2017-02-28 17:54:36,2026-05-06 15:11:47.710166
0092a9e1c8a471753ed7ffa7eef5086e,3,3,190.5,63.5,9.0,0.0,2018-02-01 12:37:14,2018-03-20 16:40:44,2026-05-06 15:11:47.710166
00989337a1916a0055eedd1fdb35eb53,2,2,71.64,35.82,15.5,0.0,2018-02-17 09:47:32,2018-03-23 21:19:37,2026-05-06 15:11:47.710166
009af1277432f1a05742df69cdf72d1e,7,7,504.18,72.03,13.14,0.14,2017-07-08 21:11:41,2017-12-04 11:30:44,2026-05-06 15:11:47.710166
009c09f439988bc06a93d6b8186dce73,1,1,146.45,146.45,13.0,0.0,2018-06-07 19:03:12,2018-06-07 19:03:12,2026-05-06 15:11:47.710166
009df2b0bc078648fc4f5898de8cabff,1,1,1052.36,1052.36,27.0,1.0,2018-05-14 21:03:30,2018-05-14 21:03:30,2026-05-06 15:11:47.710166
00a0db09dc7c94d512ec51900141ed69,1,1,65.09,65.09,14.0,0.0,2018-02-05 13:55:53,2018-02-05 13:55:53,2026-05-06 15:11:47.710166
00a8c742ae1da97e9064205459977e6c,1,1,29.09,29.09,12.0,0.0,2017-12-21 20:07:03,2017-12-21 20:07:03,2026-05-06 15:11:47.710166
00a985c524adbb97a4211e4ce17aabec,1,1,37.83,37.83,7.0,0.0,2018-07-31 14:27:06,2018-07-31 14:27:06,2026-05-06 15:11:47.710166
00aa70fd749f3b9ce8ca4bc914a9e7b1,1,3,55.56,27.78,22.0,0.0,2017-04-10 10:56:03,2017-04-10 10:56:03,2026-05-06 15:11:47.710166
00ab8a8b9fe219511dc3f178c6d79698,6,10,882.52,110.32,7.25,0.0,2017-03-24 15:09:44,2017-04-14 19:31:57,2026-05-06 15:11:47.710166
00ae7076313576f94d9107599d79a978,3,4,321.77,107.26,12.33,0.0,2017-11-24 10:52:36,2018-04-25 01:03:27,2026-05-06 15:11:47.710166
00b264091d1c8df03976c3f3b176b35c,1,1,148.01,148.01,7.0,0.0,2018-07-30 18:41:35,2018-07-30 18:41:35,2026-05-06 15:11:47.710166
00b4155166f994ba9da3cf001eb80505,1,1,117.46,117.46,3.0,0.0,2018-06-24 21:46:56,2018-06-24 21:46:56,2026-05-06 15:11:47.710166
00b782074a5ec523bf31951b4935d572,1,1,81.21,81.21,14.0,0.0,2017-08-22 20:15:37,2017-08-22 20:15:37,2026-05-06 15:11:47.710166
00ba6d766f0b1d7b78a5ce3e1e033263,11,26,1052.78,65.8,8.5,0.0,2017-05-23 15:08:40,2018-02-16 15:19:06,2026-05-06 15:11:47.710166
00baba5b58e274d0332a0c8a0a66f877,11,11,684.07,62.19,13.91,0.09,2017-08-23 13:10:47,2018-03-21 22:29:44,2026-05-06 15:11:47.710166
00bb62ea3729537a687c3fddcd123662,1,3,638.58,319.29,7.0,0.0,2017-11-27 12:12:28,2017-11-27 12:12:28,2026-05-06 15:11:47.710166
00bc6e6d4ceb98ec7ed058b0a243a8b9,1,1,31.66,31.66,13.0,0.0,2017-12-12 20:55:09,2017-12-12 20:55:09,2026-05-06 15:11:47.710166
00be617b58175bf207fd35910d5097a4,5,5,361.61,72.32,15.4,0.2,2017-01-15 15:52:04,2018-07-17 10:33:14,2026-05-06 15:11:47.710166
00c1e6d55fe174bfbb179257255e49bb,1,1,165.56,165.56,11.0,0.0,2018-05-28 12:03:55,2018-05-28 12:03:55,2026-05-06 15:11:47.710166
00c3e35b00dd00ab864d4a94c1b97e66,2,2,226.15,113.07,7.0,0.0,2017-10-17 13:45:26,2017-12-05 14:14:49,2026-05-06 15:11:47.710166
00c407e056c74eb8040a1233ca6da16f,1,1,103.37,103.37,15.0,0.0,2018-04-09 13:11:49,2018-04-09 13:11:49,2026-05-06 15:11:47.710166
00c744ca2f3b0e76ce227b146095d3f9,1,1,49.55,49.55,8.0,0.0,2017-03-22 10:35:21,2017-03-22 10:35:21,2026-05-06 15:11:47.710166
00c794371af4dc7c5b6ba3ef913556bb,1,1,25.42,25.42,7.0,0.0,2017-02-13 08:10:34,2017-02-13 08:10:34,2026-05-06 15:11:47.710166
00cc15e0cef551848c797ab75ba904b1,1,1,768.99,768.99,9.0,0.0,2017-09-17 15:12:35,2017-09-17 15:12:35,2026-05-06 15:11:47.710166
00d2add85b1f5aba6bb3d5d977314e25,2,2,818.1,409.05,22.0,0.0,2017-10-21 16:13:44,2017-11-26 12:15:07,2026-05-06 15:11:47.710166
00d2fa6f2a87633084c8e0400d41a65a,1,2,148.18,148.18,5.0,0.0,2018-08-13 00:05:06,2018-08-13 00:05:06,2026-05-06 15:11:47.710166
00d363b8c14bb9a6c73febc4c42acf47,1,1,30.86,30.86,9.0,0.0,2017-04-25 10:07:40,2017-04-25 10:07:40,2026-05-06 15:11:47.710166
00d51a45854ebce28acda79f414388ee,1,1,39.61,39.61,1.0,0.0,2018-05-09 12:36:31,2018-05-09 12:36:31,2026-05-06 15:11:47.710166
00d62b338366db4c4aec8547ea8f928e,1,1,45.0,45.0,14.0,0.0,2017-11-27 15:39:09,2017-11-27 15:39:09,2026-05-06 15:11:47.710166
00d62d0388b0786d730a1aaed91c0ae0,1,1,25.75,25.75,14.0,0.0,2017-11-16 17:04:13,2017-11-16 17:04:13,2026-05-06 15:11:47.710166
00d93a09990b319a7c946ed7a8c67656,1,1,195.93,195.93,19.0,0.0,2017-11-25 12:03:26,2017-11-25 12:03:26,2026-05-06 15:11:47.710166
00dc8a1b2de45a7fca5921544e5f351d,1,1,122.13,122.13,9.0,0.0,2018-01-14 00:09:22,2018-01-14 00:09:22,2026-05-06 15:11:47.710166
00ddaddbe03b7103d80daee96892363f,1,1,34.77,34.77,4.0,0.0,2018-01-25 11:19:00,2018-01-25 11:19:00,2026-05-06 15:11:47.710166
00de606a5dda99c2499f94ef18282977,1,1,133.94,133.94,9.0,1.0,2018-07-31 18:18:16,2018-07-31 18:18:16,2026-05-06 15:11:47.710166
00de7f393d962717eeeb2d7131a40dba,11,20,1808.78,120.59,19.73,0.07,2017-08-20 15:18:23,2017-11-20 11:27:15,2026-05-06 15:11:47.710166
00df6fc5f33cc3f7ceec4ec6337d9cd7,1,1,1015.18,1015.18,9.0,0.0,2017-10-08 05:32:42,2017-10-08 05:32:42,2026-05-06 15:11:47.710166
00e040fed5fb843e28740181ddca3521,1,1,29.77,29.77,9.0,0.0,2018-02-06 14:20:46,2018-02-06 14:20:46,2026-05-06 15:11:47.710166
00e2784f846618842151d40ec730ece0,1,1,123.01,123.01,6.0,0.0,2017-06-01 22:12:30,2017-06-01 22:12:30,2026-05-06 15:11:47.710166
00e32638060f6356e6f00749dc466b5c,7,7,830.41,118.63,16.0,0.0,2017-02-11 20:02:31,2018-04-08 21:15:14,2026-05-06 15:11:47.710166
